order_id,customer_id,product_id,quantity,order_amount,order_status,order_date
1,5671,4797,1,49493.1,DELIVERED,2024-09-18
2,5350,4761,3,635.18,PLACED,2024-03-25
3,2668,6035,3,29758.2,CANCELLED,2025-10-06
4,4835,1547,3,54616.29,CANCELLED,2024-12-11
5,3013,4445,4,19107.75,CANCELLED,2024-09-27
6,7180,3560,1,634.45,DELIVERED,2024-09-06
7,1657,6780,3,33590.85,SHIPPED,2025-01-24
8,6221,297,2,39960.66,CANCELLED,2024-11-03
9,5195,5806,2,82380.67,PLACED,2025-12-05
10,496,2996,2,87638.75,SHIPPED,2025-01-31
11,5511,721,4,33116.82,CANCELLED,2024-06-11
12,4027,5058,3,71579.88,PLACED,2024-05-29
13,7735,6675,4,45411.8,SHIPPED,2025-07-09
14,2006,5262,4,66693.05,CANCELLED,2025-01-05
15,9090,9145,3,80996.01,SHIPPED,2025-08-20
16,4480,4199,4,49338.3,SHIPPED,2025-07-29
17,3642,3544,1,79475.47,SHIPPED,2025-05-24
18,7244,6117,2,91616.85,DELIVERED,2025-11-16
19,886,6223,4,3269.14,SHIPPED,2024-01-29
20,5111,1469,1,81003.3,CANCELLED,2024-07-03
21,6064,7016,3,74565.13,PLACED,2024-11-20
22,9309,7109,3,24633.52,SHIPPED,2024-06-24
23,1187,6910,4,71638.79,CANCELLED,2025-07-23
24,3662,1749,4,35785.99,CANCELLED,2025-08-29
25,7553,3265,1,69899.75,CANCELLED,2024-08-08
26,7892,6851,2,90099.31,CANCELLED,2025-06-29
27,6660,3749,2,5840.16,PLACED,2025-06-08
28,4721,1970,1,46884.07,DELIVERED,2025-08-05
29,3718,5492,3,45169.59,DELIVERED,2024-04-20
30,8545,7181,1,11282.43,CANCELLED,2025-06-09
31,248,3504,4,84540.85,CANCELLED,2025-07-31
32,479,2761,4,43490.35,PLACED,2024-02-19
33,4453,1369,3,1815.23,DELIVERED,2025-10-11
34,1060,1645,4,81096.13,PLACED,2025-11-30
35,2194,168,1,41892.52,SHIPPED,2024-04-23
36,2545,3869,3,8704.37,DELIVERED,2025-09-23
37,2310,6631,2,85854.8,DELIVERED,2024-07-18
38,2024,350,4,97268.25,PLACED,2025-07-22
39,7954,3302,3,18328.0,PLACED,2024-09-29
40,2770,4500,1,72423.2,CANCELLED,2024-12-31
41,9251,2543,2,50561.54,PLACED,2024-06-30
42,7111,3881,2,6494.28,CANCELLED,2025-03-17
43,9630,3366,3,34286.81,CANCELLED,2024-09-28
44,1317,5205,1,5486.05,PLACED,2024-03-30
45,6441,3088,4,63029.99,DELIVERED,2025-01-23
46,8080,6029,1,43369.94,CANCELLED,2025-06-04
47,7583,9013,4,10723.77,PLACED,2024-08-02
48,3994,3085,4,42322.45,PLACED,2024-05-16
49,3997,557,2,4198.04,SHIPPED,2025-10-18
50,3666,6548,1,56993.5,CANCELLED,2024-10-24
51,8483,2184,4,69417.53,PLACED,2025-10-27
52,6692,7046,4,56862.56,CANCELLED,2025-10-04
53,4842,3044,1,37853.12,SHIPPED,2024-02-03
54,8891,2854,1,87740.44,SHIPPED,2025-09-25
55,6363,6657,3,28751.56,CANCELLED,2025-05-15
56,3861,5761,1,75609.65,CANCELLED,2025-03-26
57,9116,3623,1,36926.37,DELIVERED,2024-03-18
58,4794,1377,4,97370.11,DELIVERED,2024-10-02
59,2926,9245,1,43211.36,DELIVERED,2025-01-06
60,4022,4410,4,11340.36,DELIVERED,2024-06-15
61,9722,5606,1,35621.34,PLACED,2025-10-20
62,5469,5853,4,19593.23,PLACED,2025-04-27
63,6133,1612,1,52040.88,CANCELLED,2025-06-07
64,2770,328,1,16862.01,DELIVERED,2024-01-01
65,6777,2556,1,70235.13,PLACED,2025-09-10
66,2483,3100,4,83205.77,PLACED,2024-10-02
67,9749,5787,3,68081.7,PLACED,2025-06-25
68,6055,569,3,35090.25,PLACED,2024-05-10
69,3734,3230,4,32050.12,CANCELLED,2025-08-24
70,1796,6540,1,35489.93,DELIVERED,2024-09-28
71,8541,6215,1,9871.46,PLACED,2025-03-13
72,2610,9351,2,10031.8,DELIVERED,2024-04-27
73,5931,6843,2,44791.66,CANCELLED,2025-12-07
74,9540,1361,3,46447.67,DELIVERED,2025-09-04
75,1727,908,4,76633.43,PLACED,2025-09-18
76,8026,8391,1,30300.04,PLACED,2025-10-02
77,7775,3366,1,78825.75,CANCELLED,2024-05-16
78,9506,6698,4,15725.43,DELIVERED,2024-08-31
79,1021,3845,2,78266.45,DELIVERED,2025-11-01
80,6059,7952,3,15074.41,DELIVERED,2024-07-14
81,3182,8999,2,95268.08,PLACED,2024-05-29
82,3334,2741,2,47661.89,SHIPPED,2024-10-27
83,9889,5709,3,97432.37,SHIPPED,2024-04-05
84,4587,9796,2,92195.42,PLACED,2025-09-28
85,5983,501,4,66016.07,DELIVERED,2025-09-02
86,7665,3964,3,14948.86,DELIVERED,2025-04-12
87,6136,5782,4,17239.06,SHIPPED,2025-04-22
88,8301,5017,2,50506.29,SHIPPED,2025-03-14
89,2949,8406,4,28880.52,DELIVERED,2024-06-09
90,1041,7989,2,21502.24,CANCELLED,2024-02-25
91,5100,504,1,5755.48,PLACED,2024-10-23
92,8149,6011,2,79791.95,DELIVERED,2024-10-30
93,7013,3727,2,23218.72,SHIPPED,2025-01-19
94,2132,2425,1,77953.97,CANCELLED,2024-06-08
95,5475,9201,2,43317.86,DELIVERED,2025-12-20
96,17,4671,3,76855.37,DELIVERED,2024-08-31
97,130,1474,2,75132.9,CANCELLED,2024-09-08
98,9816,2896,3,34490.32,PLACED,2025-02-18
99,1947,5560,1,3221.65,PLACED,2024-07-25
100,9177,4502,3,43733.63,CANCELLED,2025-05-02
101,8218,83,1,33883.06,SHIPPED,2025-10-07
102,3142,2883,2,64668.0,PLACED,2024-06-30
103,3085,2046,1,12982.24,PLACED,2025-11-13
104,5285,1553,1,60945.5,PLACED,2025-10-07
105,3749,5579,1,71635.61,SHIPPED,2024-02-27
106,9031,4696,1,71075.13,SHIPPED,2025-06-30
107,7596,425,3,98906.12,SHIPPED,2024-08-10
108,2695,3596,4,21958.05,SHIPPED,2025-01-24
109,3267,7018,2,37959.69,SHIPPED,2025-10-27
110,8096,8877,3,73676.51,DELIVERED,2025-01-10
111,9270,7317,4,69678.12,CANCELLED,2025-09-06
112,5660,1904,1,31051.6,CANCELLED,2024-12-02
113,426,2402,2,37583.04,CANCELLED,2025-06-04
114,7249,44,3,5726.84,CANCELLED,2025-02-23
115,7072,4195,1,84153.17,CANCELLED,2024-06-05
116,2171,8304,3,49061.22,CANCELLED,2025-02-19
117,8027,9020,1,98387.13,CANCELLED,2024-05-18
118,8065,3617,2,3068.22,CANCELLED,2025-02-27
119,8352,5881,1,70728.08,PLACED,2025-12-01
120,8744,7392,4,24865.45,CANCELLED,2025-04-23
121,7519,6291,1,43539.12,CANCELLED,2025-10-02
122,4828,5265,1,33825.48,CANCELLED,2025-06-10
123,9826,6987,3,54043.61,PLACED,2025-08-29
124,8528,9023,1,60753.42,CANCELLED,2024-09-14
125,6098,6459,4,42660.74,DELIVERED,2024-09-20
126,6489,8158,2,24355.59,PLACED,2024-01-25
127,9291,8335,3,50641.01,PLACED,2025-11-20
128,7637,4188,1,3397.32,SHIPPED,2025-06-30
129,3436,7301,3,6430.94,SHIPPED,2025-02-03
130,7445,9372,3,22691.17,DELIVERED,2025-01-05
131,501,4555,2,50039.68,CANCELLED,2025-09-14
132,6772,1116,1,13711.13,PLACED,2025-01-25
133,3568,1659,1,56921.83,CANCELLED,2024-03-29
134,5801,4377,2,24420.9,SHIPPED,2025-07-31
135,2816,971,1,43739.46,CANCELLED,2025-03-02
136,260,5026,3,57703.3,SHIPPED,2025-10-21
137,1760,7515,2,46967.88,CANCELLED,2024-09-15
138,3795,3591,3,99467.3,SHIPPED,2025-06-09
139,8981,6286,2,81080.65,PLACED,2024-04-18
140,4013,2093,4,11510.74,CANCELLED,2025-03-23
141,4397,288,2,50933.04,DELIVERED,2024-07-04
142,7230,8138,3,6690.92,CANCELLED,2024-12-31
143,5902,7932,2,96772.7,CANCELLED,2024-09-08
144,8031,8263,3,81772.77,PLACED,2024-08-02
145,3524,5513,3,77031.83,DELIVERED,2025-02-17
146,9940,1629,1,41196.02,PLACED,2025-07-23
147,8209,9790,2,90671.76,CANCELLED,2024-01-30
148,2260,2251,2,71786.46,SHIPPED,2024-06-22
149,284,5726,1,84824.19,SHIPPED,2024-07-02
150,8795,9556,1,31478.38,DELIVERED,2024-01-29
151,6163,7637,2,57675.89,DELIVERED,2024-05-19
152,7073,1494,1,45677.23,DELIVERED,2024-08-24
153,373,5588,4,51213.83,CANCELLED,2024-06-30
154,6587,7624,4,73166.88,CANCELLED,2025-06-20
155,823,222,1,49951.05,CANCELLED,2024-04-13
156,3889,5301,3,66636.62,SHIPPED,2024-10-09
157,7567,3994,3,24646.74,SHIPPED,2024-03-08
158,4758,1555,4,26696.56,PLACED,2024-10-10
159,88,7116,1,72631.81,DELIVERED,2024-09-10
160,4148,1748,1,81494.96,DELIVERED,2023-12-31
161,7044,2152,2,50802.94,PLACED,2025-05-27
162,600,8797,2,13864.2,PLACED,2025-05-24
163,7727,214,4,70270.93,PLACED,2025-09-07
164,6239,8461,1,65692.1,DELIVERED,2024-12-20
165,823,6101,4,76148.53,SHIPPED,2024-01-01
166,3832,4584,3,35595.34,DELIVERED,2024-01-04
167,7984,6501,4,99464.0,DELIVERED,2025-02-23
168,1168,4077,3,54869.28,DELIVERED,2024-07-14
169,9548,6361,1,1353.32,DELIVERED,2024-10-28
170,7628,8893,3,33541.07,DELIVERED,2025-06-20
171,5826,7940,1,32649.72,PLACED,2025-09-27
172,2871,4759,3,58814.52,DELIVERED,2024-07-04
173,1099,3170,3,60535.35,SHIPPED,2025-07-26
174,7453,6453,1,49552.64,DELIVERED,2025-11-18
175,2039,5462,4,30779.56,CANCELLED,2024-09-08
176,5117,9904,2,48542.81,PLACED,2025-08-24
177,2809,2563,1,11238.05,CANCELLED,2025-02-16
178,9190,2334,3,10222.87,DELIVERED,2025-05-29
179,7545,6950,3,44043.77,CANCELLED,2024-03-21
180,3482,7539,1,74780.76,CANCELLED,2025-01-24
181,1021,5535,2,51263.99,SHIPPED,2024-09-18
182,3118,2536,3,38267.54,CANCELLED,2025-10-22
183,6092,1027,2,14356.61,PLACED,2025-12-03
184,7775,2294,1,95659.57,PLACED,2025-01-27
185,8975,1948,4,75964.42,DELIVERED,2025-02-15
186,6067,7648,3,94349.3,CANCELLED,2025-07-19
187,7705,6155,1,54102.72,CANCELLED,2024-12-29
188,1418,7761,2,97524.2,DELIVERED,2024-10-12
189,8302,2553,2,30546.64,DELIVERED,2024-07-26
190,4734,2043,2,12228.4,DELIVERED,2024-09-06
191,9814,3659,4,85583.84,PLACED,2024-12-17
192,3285,5953,2,90373.21,DELIVERED,2025-03-28
193,4398,7669,4,5579.68,DELIVERED,2025-10-15
194,3393,3712,4,3071.33,DELIVERED,2025-06-18
195,7663,7405,2,46540.62,PLACED,2025-11-03
196,8557,3940,4,55559.63,DELIVERED,2024-12-05
197,9838,6942,2,85260.42,PLACED,2025-05-28
198,922,3659,3,26665.69,PLACED,2024-03-16
199,5407,4278,3,82518.66,SHIPPED,2024-02-05
200,7099,3768,1,7932.31,DELIVERED,2025-05-27
201,9340,613,3,1840.32,SHIPPED,2024-10-28
202,4789,9927,1,92620.93,SHIPPED,2024-06-02
203,3202,753,2,3256.29,DELIVERED,2024-04-13
204,7557,1342,2,478.88,SHIPPED,2025-09-22
205,6756,3483,2,44604.78,PLACED,2024-08-27
206,5566,7612,2,45515.71,CANCELLED,2025-07-29
207,2423,8866,2,75545.84,CANCELLED,2025-05-18
208,8785,7636,4,2746.25,DELIVERED,2025-12-14
209,6463,3139,2,36549.94,SHIPPED,2024-06-30
210,9905,5400,4,55437.8,DELIVERED,2025-09-29
211,2486,7460,3,85772.37,CANCELLED,2025-10-29
212,1874,6103,3,12850.27,PLACED,2025-10-31
213,7638,5312,4,73878.42,PLACED,2025-12-21
214,6881,4722,2,26891.05,SHIPPED,2025-04-29
215,1925,6461,1,70763.76,PLACED,2024-11-14
216,863,4321,3,79491.68,CANCELLED,2024-07-16
217,6053,8260,3,31355.89,PLACED,2024-08-07
218,7000,7323,4,86615.43,CANCELLED,2024-12-07
219,5679,1383,1,19409.58,PLACED,2024-06-29
220,7115,9435,2,44683.44,DELIVERED,2025-08-20
221,8097,2595,2,43451.19,SHIPPED,2024-07-06
222,8140,8760,1,54382.82,SHIPPED,2025-09-19
223,4692,8840,2,69254.76,SHIPPED,2025-11-25
224,125,9730,4,97804.38,CANCELLED,2024-09-20
225,1971,2763,2,8264.74,SHIPPED,2024-03-16
226,1655,132,3,73090.89,SHIPPED,2024-12-03
227,9174,7107,1,3988.54,CANCELLED,2024-03-06
228,4629,5061,3,89720.88,SHIPPED,2025-11-05
229,6633,6756,3,16280.07,PLACED,2025-09-07
230,2505,3034,4,95399.82,CANCELLED,2024-02-10
231,2977,1472,4,89881.46,SHIPPED,2024-09-11
232,1143,2569,1,82916.46,DELIVERED,2025-02-20
233,1898,2193,1,89022.73,PLACED,2024-05-29
234,2179,733,1,33344.28,SHIPPED,2024-11-19
235,8705,2688,1,72771.94,CANCELLED,2025-04-27
236,6535,5386,3,24651.86,DELIVERED,2025-03-29
237,2222,5165,3,56454.07,PLACED,2024-08-15
238,2769,7229,3,56098.49,PLACED,2024-09-29
239,6741,9812,4,27284.79,CANCELLED,2024-07-04
240,715,6055,1,24457.13,CANCELLED,2024-03-01
241,3979,9054,1,71819.31,CANCELLED,2024-05-31
242,8647,3309,4,3531.94,SHIPPED,2024-06-04
243,2656,982,1,74630.61,CANCELLED,2025-12-22
244,8792,9515,1,18047.57,CANCELLED,2025-08-24
245,2743,7842,3,69958.34,CANCELLED,2024-07-23
246,1203,9700,1,90968.0,DELIVERED,2024-08-29
247,9232,6610,2,67025.8,DELIVERED,2025-03-13
248,5152,6407,3,90559.57,PLACED,2024-01-29
249,4679,7146,4,71717.31,SHIPPED,2024-04-02
250,5302,3577,2,9490.98,SHIPPED,2024-02-25
251,9818,1871,2,49899.41,DELIVERED,2024-04-05
252,8833,5454,4,67049.56,SHIPPED,2024-11-15
253,7203,4439,2,35751.44,PLACED,2025-03-08
254,3538,6717,1,1595.28,DELIVERED,2025-10-16
255,6201,4287,4,81629.31,SHIPPED,2025-05-19
256,7341,6823,2,65563.82,PLACED,2024-07-05
257,4886,6894,2,69487.64,SHIPPED,2024-05-16
258,9907,5083,2,81332.71,CANCELLED,2024-01-27
259,2798,819,3,45820.63,CANCELLED,2025-03-29
260,7927,4105,2,57473.81,PLACED,2024-10-01
261,5895,7051,2,75587.73,SHIPPED,2025-09-22
262,5879,3139,1,55628.14,DELIVERED,2025-09-10
263,6328,4304,4,70955.72,DELIVERED,2024-09-26
264,7409,8143,2,76312.78,DELIVERED,2025-09-07
265,2292,7731,2,91280.41,SHIPPED,2025-10-31
266,6454,1585,4,50744.97,CANCELLED,2024-08-27
267,7721,292,3,71839.41,SHIPPED,2024-06-25
268,7767,8770,2,46309.77,DELIVERED,2024-06-07
269,8639,4374,2,90186.58,DELIVERED,2024-01-04
270,7559,6746,2,88177.22,PLACED,2025-04-27
271,8251,8651,4,65036.38,CANCELLED,2024-05-27
272,742,9765,1,2617.74,CANCELLED,2025-02-14
273,7660,5204,1,50249.41,DELIVERED,2025-06-08
274,8620,6487,3,27229.75,CANCELLED,2025-09-26
275,7423,5974,4,91624.29,CANCELLED,2024-04-19
276,5522,412,3,82277.95,DELIVERED,2024-06-23
277,6843,6565,4,41018.89,PLACED,2025-08-14
278,7279,7458,3,43107.99,CANCELLED,2025-03-14
279,7191,945,4,1707.72,DELIVERED,2025-12-04
280,5285,6882,4,85010.27,DELIVERED,2025-11-04
281,9510,7941,4,84764.76,SHIPPED,2024-03-31
282,9457,2946,3,8662.84,DELIVERED,2024-08-22
283,2666,7132,4,72672.88,PLACED,2024-08-18
284,2685,7495,3,14460.22,PLACED,2024-01-16
285,2560,8138,4,7926.74,PLACED,2024-07-16
286,1730,9234,3,23161.25,DELIVERED,2024-11-23
287,3056,6802,3,10606.92,PLACED,2024-03-03
288,7300,7457,2,93458.68,SHIPPED,2024-09-11
289,7932,1715,1,50923.55,PLACED,2025-02-07
290,1987,3545,4,66370.28,DELIVERED,2024-03-04
291,3787,7263,4,47399.6,CANCELLED,2024-08-06
292,6660,4261,2,36452.49,PLACED,2024-12-17
293,2941,5162,1,33166.7,DELIVERED,2024-04-06
294,2464,3372,3,60850.6,PLACED,2025-07-08
295,5068,7502,1,31892.3,DELIVERED,2025-06-16
