product_id,product_name,category,price,created_date
1,Employee,Books,47540.64,2025-04-28
2,This,Home,39006.58,2023-08-26
3,Camera,Sports,7885.33,2025-03-03
4,Media,Home,5088.75,2024-02-20
5,South,Home,43322.19,2023-06-27
6,Information,Books,7229.05,2025-01-14
7,Allow,Home,1127.17,2023-09-09
8,Congress,Clothing,36127.74,2023-08-10
9,Training,Clothing,9173.07,2025-09-30
10,Out,Sports,30912.33,2025-07-01
11,Imagine,Clothing,26285.35,2024-05-31
12,Reach,Books,1250.82,2023-07-03
13,Stand,Home,30631.46,2024-09-15
14,Interview,Clothing,2428.62,2023-02-04
15,Serious,Books,18381.46,2023-04-05
16,Book,Home,19184.85,2025-08-05
17,Himself,Books,29661.49,2023-08-15
18,Glass,Home,43011.03,2023-10-17
19,Ten,Sports,22579.91,2025-11-08
20,Land,Clothing,47449.39,2025-10-23
21,Lead,Books,28208.08,2023-07-05
22,No,Clothing,15300.23,2023-10-23
23,Church,Sports,11621.6,2025-04-30
24,Position,Books,22063.61,2024-11-15
25,That,Books,24809.33,2024-06-22
26,Series,Home,45475.09,2024-02-02
27,National,Books,9193.58,2024-04-27
28,Need,Books,15654.38,2024-01-26
29,Network,Clothing,28428.25,2024-03-09
30,Attack,Sports,48482.27,2024-05-16
31,Care,Clothing,22542.73,2023-12-22
32,Someone,Clothing,44751.88,2024-07-02
33,Use,Books,2356.84,2025-01-03
34,His,Sports,19495.0,2025-12-06
35,Hit,Clothing,27030.64,2025-03-29
36,True,Clothing,48266.24,2025-04-22
37,Shake,Books,27180.53,2024-07-12
38,Old,Electronics,14884.05,2025-04-14
39,Factor,Sports,3820.08,2023-08-04
40,Protect,Electronics,38635.01,2025-10-26
41,Bad,Books,14745.06,2025-05-16
42,Long,Home,10022.24,2023-11-22
43,Report,Home,39529.76,2025-11-12
44,Republican,Home,3794.83,2024-04-28
45,Left,Clothing,5881.87,2025-10-10
46,Hard,Electronics,31202.58,2025-12-18
47,Read,Clothing,4860.96,2025-01-08
48,Set,Sports,36507.35,2024-11-05
49,College,Home,28106.05,2023-01-02
50,Put,Home,6067.75,2023-09-08
51,Over,Home,38063.17,2024-07-23
52,Technology,Clothing,11875.65,2025-03-23
53,Camera,Home,26184.37,2025-08-18
54,Protect,Clothing,1368.41,2025-03-22
55,Red,Sports,10165.79,2024-06-27
56,Can,Electronics,15786.36,2025-04-29
57,Simple,Books,45387.57,2023-01-13
58,Note,Sports,27038.07,2024-02-10
59,Certain,Sports,11517.03,2024-01-12
60,Better,Home,34769.77,2024-09-24
61,Activity,Books,46491.91,2023-10-29
62,Let,Sports,14852.12,2024-05-15
63,Prove,Sports,43585.88,2023-01-06
64,Party,Books,11000.18,2024-02-26
65,We,Books,44638.69,2023-05-15
